name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Norifumi Yamamoto

            ","
                Record: 18-6-0 (2 NC)
            ","
      5' 4""
    ","
      135 lbs.
    ","
      66""
    ","
      Southpaw
    ","
      
        Mar 15, 1977
      
    ","

  DREAM 14

   ",Norifumi Yamamoto ,,,Federico Lopez,"
      
      Featherweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:41

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      9 of 13
    ","
      3 of 13
    ","
      69%
    ","
      23%
    ","
      9 of 13
    ","
      3 of 13
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      6 of 10
    ","
      1 of 9
    ","
      0 of 0
    ","
      1 of 2
    ","
      3 of 3
    ","
      1 of 2
    ","
      4 of 8
    ","
      3 of 13
    ","
      0 of 0
    ","
      0 of 0
    ","
      5 of 5
    ","
      0 of 0
    "
"
                Norifumi Yamamoto

            ","
                Record: 18-6-0 (2 NC)
            ","
      5' 4""
    ","
      135 lbs.
    ","
      66""
    ","
      Southpaw
    ","
      
        Mar 15, 1977
      
    ","

  UFC 126: Silva vs Belfort

   ",Norifumi Yamamoto ,,Demetrious Johnson ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      16 of 65
    ","
      38 of 102
    ","
      24%
    ","
      37%
    ","
      17 of 66
    ","
      70 of 134
    ","
      0 of 2
    ","
      10 of 15
    ","
      0%
    ","
      66%
    ","
      0
    ","
      0
    ","
      0
    ","
      4
    ","
      0
    ","
      0
    ","
      12 of 59
    ","
      17 of 73
    ","
      3 of 5
    ","
      12 of 15
    ","
      1 of 1
    ","
      9 of 14
    ","
      14 of 59
    ","
      23 of 82
    ","
      2 of 5
    ","
      12 of 17
    ","
      0 of 1
    ","
      3 of 3
    "
"
                Norifumi Yamamoto

            ","
                Record: 18-6-0 (2 NC)
            ","
      5' 4""
    ","
      135 lbs.
    ","
      66""
    ","
      Southpaw
    ","
      
        Mar 15, 1977
      
    ","

  UFC on Fox: Velasquez vs Dos Santos

   ",Norifumi Yamamoto ,,Darren Uyenoyama ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      15 of 28
    ","
      15 of 18
    ","
      53%
    ","
      83%
    ","
      27 of 40
    ","
      84 of 100
    ","
      1 of 4
    ","
      2 of 3
    ","
      25%
    ","
      66%
    ","
      0
    ","
      1
    ","
      0
    ","
      3
    ","
      1
    ","
      1
    ","
      7 of 19
    ","
      7 of 9
    ","
      6 of 7
    ","
      6 of 7
    ","
      2 of 2
    ","
      2 of 2
    ","
      10 of 22
    ","
      5 of 8
    ","
      3 of 3
    ","
      3 of 3
    ","
      2 of 3
    ","
      7 of 7
    "
"
                Norifumi Yamamoto

            ","
                Record: 18-6-0 (2 NC)
            ","
      5' 4""
    ","
      135 lbs.
    ","
      66""
    ","
      Southpaw
    ","
      
        Mar 15, 1977
      
    ","

  UFC 144: Edgar vs Henderson

   ",Norifumi Yamamoto ,,Vaughan Lee ,,"
      ,
      Bantamweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:29

      ","
    L
  ","
    W
  ","
      0
    ","
      1
    ","
      21 of 49
    ","
      14 of 30
    ","
      42%
    ","
      46%
    ","
      21 of 49
    ","
      32 of 48
    ","
      1 of 2
    ","
      0 of 1
    ","
      50%
    ","
      0%
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      19 of 45
    ","
      9 of 24
    ","
      2 of 4
    ","
      4 of 5
    ","
      0 of 0
    ","
      1 of 1
    ","
      17 of 40
    ","
      7 of 22
    ","
      4 of 9
    ","
      7 of 8
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Norifumi Yamamoto

            ","
                Record: 18-6-0 (2 NC)
            ","
      5' 4""
    ","
      135 lbs.
    ","
      66""
    ","
      Southpaw
    ","
      
        Mar 15, 1977
      
    ","

  UFC 184: Rousey vs Zingano

   ",Roman Salazar ,,Norifumi Yamamoto ,,"
      
      Bantamweight Bout
    ","
        ,
        2
      ","
        ,
        
        2:37

      ","
    NC
  ","
    NC
  ","
      0
    ","
      0
    ","
      16 of 49
    ","
      19 of 49
    ","
      32%
    ","
      38%
    ","
      19 of 53
    ","
      19 of 49
    ","
      1 of 2
    ","
      0 of 0
    ","
      50%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      12 of 43
    ","
      12 of 40
    ","
      2 of 4
    ","
      1 of 3
    ","
      2 of 2
    ","
      6 of 6
    ","
      14 of 46
    ","
      17 of 46
    ","
      2 of 3
    ","
      2 of 3
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Hiroko Yamanaka

            ","
                Record: 12-3-0 (1 NC)
            ","
      5' 11""
    ","
      135 lbs.
    ","
      --
    ","
      
    ","
      
        Oct 24, 1978
      
    ","

  Strikeforce - Rousey vs Kaufman

   ",,Hiroko Yamanaka,Germaine de Randamie ,,"
      
      Women's Featherweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      32 of 118
    ","
      42 of 130
    ","
      27%
    ","
      32%
    ","
      34 of 120
    ","
      67 of 158
    ","
      0 of 6
    ","
      0 of 1
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      13 of 93
    ","
      36 of 122
    ","
      2 of 3
    ","
      4 of 4
    ","
      17 of 22
    ","
      2 of 4
    ","
      25 of 108
    ","
      42 of 129
    ","
      7 of 10
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Xiaonan Yan

            ","
                Record: 12-1-0 (1 NC)
            ","
      5' 5""
    ","
      115 lbs.
    ","
      63""
    ","
      Orthodox
    ","
      
        Jun 16, 1989
      
    ","

  UFC Fight Night: Cowboy vs. Edwards

   ",Viviane Pereira ,,Xiaonan Yan ,,"
      
      Women's Strawweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      44 of 212
    ","
      71 of 227
    ","
      20%
    ","
      31%
    ","
      44 of 212
    ","
      71 of 227
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      34 of 189
    ","
      42 of 174
    ","
      10 of 23
    ","
      2 of 8
    ","
      0 of 0
    ","
      27 of 45
    ","
      43 of 210
    ","
      71 of 226
    ","
      1 of 2
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Xiaonan Yan

            ","
                Record: 12-1-0 (1 NC)
            ","
      5' 5""
    ","
      115 lbs.
    ","
      63""
    ","
      Orthodox
    ","
      
        Jun 16, 1989
      
    ","

  UFC Fight Night: Blaydes vs. Ngannou 2

   ",Xiaonan Yan ,,Syuri Kondo ,,"
      
      Women's Strawweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      150 of 331
    ","
      86 of 221
    ","
      45%
    ","
      38%
    ","
      150 of 333
    ","
      86 of 221
    ","
      0 of 1
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      115 of 276
    ","
      60 of 181
    ","
      9 of 13
    ","
      12 of 25
    ","
      26 of 42
    ","
      14 of 15
    ","
      146 of 324
    ","
      82 of 210
    ","
      4 of 7
    ","
      4 of 11
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Xiaonan Yan

            ","
                Record: 12-1-0 (1 NC)
            ","
      5' 5""
    ","
      115 lbs.
    ","
      63""
    ","
      Orthodox
    ","
      
        Jun 16, 1989
      
    ","

  UFC 238: Cejudo vs. Moraes

   ",Xiaonan Yan ,,Angela Hill ,,"
      
      Women's Strawweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      94 of 249
    ","
      71 of 144
    ","
      37%
    ","
      49%
    ","
      105 of 264
    ","
      78 of 151
    ","
      1 of 1
    ","
      1 of 3
    ","
      100%
    ","
      33%
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      64 of 199
    ","
      44 of 110
    ","
      11 of 22
    ","
      21 of 26
    ","
      19 of 28
    ","
      6 of 8
    ","
      83 of 229
    ","
      56 of 127
    ","
      8 of 17
    ","
      13 of 15
    ","
      3 of 3
    ","
      2 of 2
    "
"
                Xiaonan Yan

            ","
                Record: 12-1-0 (1 NC)
            ","
      5' 5""
    ","
      115 lbs.
    ","
      63""
    ","
      Orthodox
    ","
      
        Jun 16, 1989
      
    ","

  UFC Fight Night: Felder vs. Hooker

   ",Karolina Kowalkiewicz ,,Xiaonan Yan ,,"
      
      Women's Strawweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      38 of 85
    ","
      93 of 178
    ","
      44%
    ","
      52%
    ","
      51 of 103
    ","
      157 of 254
    ","
      0 of 1
    ","
      5 of 6
    ","
      0%
    ","
      83%
    ","
      1
    ","
      0
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      19 of 55
    ","
      59 of 138
    ","
      7 of 14
    ","
      20 of 23
    ","
      12 of 16
    ","
      14 of 17
    ","
      35 of 79
    ","
      73 of 151
    ","
      3 of 6
    ","
      7 of 10
    ","
      0 of 0
    ","
      13 of 17
    "
"
                Petr Yan

            ","
                Record: 14-1-0
            ","
      5' 7""
    ","
      135 lbs.
    ","
      67""
    ","
      Switch
    ","
      
        Feb 11, 1993
      
    ","

  UFC Fight Night: Hunt vs. Oleinik

   ",Petr Yan ,,Jinsoo Son ,,"
      ,
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      100 of 232
    ","
      58 of 220
    ","
      43%
    ","
      26%
    ","
      115 of 249
    ","
      63 of 226
    ","
      0 of 1
    ","
      1 of 7
    ","
      0%
    ","
      14%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      87 of 216
    ","
      51 of 203
    ","
      10 of 13
    ","
      4 of 13
    ","
      3 of 3
    ","
      3 of 4
    ","
      73 of 195
    ","
      47 of 201
    ","
      20 of 29
    ","
      7 of 13
    ","
      7 of 8
    ","
      4 of 6
    "
"
                Petr Yan

            ","
                Record: 14-1-0
            ","
      5' 7""
    ","
      135 lbs.
    ","
      67""
    ","
      Switch
    ","
      
        Feb 11, 1993
      
    ","

  UFC 232: Jones vs. Gustafsson 2

   ",Douglas Silva de Andrade ,,Petr Yan ,,"
      
      Bantamweight Bout
    ","
        ,
        2
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      28 of 77
    ","
      76 of 118
    ","
      36%
    ","
      64%
    ","
      28 of 77
    ","
      101 of 145
    ","
      0 of 1
    ","
      3 of 4
    ","
      0%
    ","
      75%
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      13 of 44
    ","
      49 of 86
    ","
      10 of 20
    ","
      23 of 27
    ","
      5 of 13
    ","
      4 of 5
    ","
      26 of 75
    ","
      42 of 78
    ","
      2 of 2
    ","
      8 of 8
    ","
      0 of 0
    ","
      26 of 32
    "
"
                Petr Yan

            ","
                Record: 14-1-0
            ","
      5' 7""
    ","
      135 lbs.
    ","
      67""
    ","
      Switch
    ","
      
        Feb 11, 1993
      
    ","

  UFC Fight Night: Blachowicz vs. Santos

   ",John Dodson ,,Petr Yan ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      1
    ","
      0
    ","
      30 of 81
    ","
      80 of 155
    ","
      37%
    ","
      51%
    ","
      35 of 86
    ","
      102 of 180
    ","
      2 of 8
    ","
      2 of 5
    ","
      25%
    ","
      40%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      18 of 65
    ","
      61 of 131
    ","
      8 of 11
    ","
      16 of 20
    ","
      4 of 5
    ","
      3 of 4
    ","
      25 of 73
    ","
      61 of 134
    ","
      4 of 7
    ","
      15 of 17
    ","
      1 of 1
    ","
      4 of 4
    "
"
                Petr Yan

            ","
                Record: 14-1-0
            ","
      5' 7""
    ","
      135 lbs.
    ","
      67""
    ","
      Switch
    ","
      
        Feb 11, 1993
      
    ","

  UFC 238: Cejudo vs. Moraes

   ",Jimmie Rivera ,,Petr Yan ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      2
    ","
      73 of 192
    ","
      56 of 189
    ","
      38%
    ","
      29%
    ","
      76 of 195
    ","
      58 of 192
    ","
      0 of 3
    ","
      1 of 3
    ","
      0%
    ","
      33%
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      42 of 145
    ","
      40 of 166
    ","
      15 of 24
    ","
      13 of 19
    ","
      16 of 23
    ","
      3 of 4
    ","
      60 of 173
    ","
      42 of 167
    ","
      9 of 15
    ","
      10 of 12
    ","
      4 of 4
    ","
      4 of 10
    "
"
                Petr Yan

            ","
                Record: 14-1-0
            ","
      5' 7""
    ","
      135 lbs.
    ","
      67""
    ","
      Switch
    ","
      
        Feb 11, 1993
      
    ","

  UFC 245: Usman vs. Covington

   ",Petr Yan ,,Urijah Faber ,,"
      ,
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        0:43

      ","
    W
  ","
    L
  ","
      3
    ","
      0
    ","
      54 of 108
    ","
      18 of 76
    ","
      50%
    ","
      23%
    ","
      62 of 116
    ","
      28 of 86
    ","
      2 of 2
    ","
      0 of 3
    ","
      100%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      40 of 90
    ","
      14 of 64
    ","
      11 of 14
    ","
      2 of 9
    ","
      3 of 4
    ","
      2 of 3
    ","
      26 of 73
    ","
      15 of 71
    ","
      14 of 17
    ","
      3 of 5
    ","
      14 of 18
    ","
      0 of 0
    "
"
                Tyron Woodley

            ","
                Record: 19-4-1
            ","
      5' 9""
    ","
      170 lbs.
    ","
      74""
    ","
      Orthodox
    ","
      
        Apr 07, 1982
      
    ","

  Strikeforce - Lawler vs. Shields

   ",Tyron Woodley ,,,Salvador Woods,"
      
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:20

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Nathaniel Wood

            ","
                Record: 16-4-0
            ","
      5' 6""
    ","
      135 lbs.
    ","
      69""
    ","
      Orthodox
    ","
      
        May 08, 1993
      
    ","

  UFC Fight Night: Rivera vs. Moraes

   ",Johnny Eduardo ,,Nathaniel Wood ,,"
      ,
      Bantamweight Bout
    ","
        ,
        2
      ","
        ,
        
        2:18

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      37 of 88
    ","
      33 of 97
    ","
      42%
    ","
      34%
    ","
      37 of 88
    ","
      33 of 97
    ","
      0 of 1
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      27 of 72
    ","
      20 of 73
    ","
      3 of 8
    ","
      3 of 7
    ","
      7 of 8
    ","
      10 of 17
    ","
      35 of 86
    ","
      33 of 97
    ","
      2 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
